id,disabled_on,segment,level,lft,parent_id,rght,tree_id,sector_cluster_id
80363000-6095-e211-a939-e4115bead28a,,Dairy Products,1,8,a538cecc-5f95-e211-a939-e4115bead28a,9,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
81363000-6095-e211-a939-e4115bead28a,,Frozen and Chilled Foods,1,12,a538cecc-5f95-e211-a939-e4115bead28a,13,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
83363000-6095-e211-a939-e4115bead28a,,Fruit and Vegetables,1,14,a538cecc-5f95-e211-a939-e4115bead28a,15,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
7f363000-6095-e211-a939-e4115bead28a,,Meat Products,1,16,a538cecc-5f95-e211-a939-e4115bead28a,17,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
85363000-6095-e211-a939-e4115bead28a,,Pet Food,1,18,a538cecc-5f95-e211-a939-e4115bead28a,19,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
7e363000-6095-e211-a939-e4115bead28a,,Ready Meals,1,20,a538cecc-5f95-e211-a939-e4115bead28a,21,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
64535406-6095-e211-a939-e4115bead28a,,Tobacco Products,1,24,a538cecc-5f95-e211-a939-e4115bead28a,25,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
65535406-6095-e211-a939-e4115bead28a,,Major Events,1,2,ac22c9d2-5f95-e211-a939-e4115bead28a,3,23,ed3671b5-d194-4ee3-9bbf-a04773711dd9
75535406-6095-e211-a939-e4115bead28a,,Healthcare Marketing and Sales,1,2,a738cecc-5f95-e211-a939-e4115bead28a,7,24,0804745e-80b6-4bd1-8101-30e7a431623e
64f1690c-6095-e211-a939-e4115bead28a,,Healthcare Retail,2,3,75535406-6095-e211-a939-e4115bead28a,4,24,0804745e-80b6-4bd1-8101-30e7a431623e
76535406-6095-e211-a939-e4115bead28a,,Healthcare Wholesale,2,5,75535406-6095-e211-a939-e4115bead28a,6,24,0804745e-80b6-4bd1-8101-30e7a431623e
66535406-6095-e211-a939-e4115bead28a,,Healthcare Services,1,8,a738cecc-5f95-e211-a939-e4115bead28a,21,24,0804745e-80b6-4bd1-8101-30e7a431623e
6a535406-6095-e211-a939-e4115bead28a,,Medical Practice,2,11,66535406-6095-e211-a939-e4115bead28a,12,24,0804745e-80b6-4bd1-8101-30e7a431623e
69535406-6095-e211-a939-e4115bead28a,,Nursing Homes,2,13,66535406-6095-e211-a939-e4115bead28a,14,24,0804745e-80b6-4bd1-8101-30e7a431623e
68535406-6095-e211-a939-e4115bead28a,,Private Sector,2,15,66535406-6095-e211-a939-e4115bead28a,16,24,0804745e-80b6-4bd1-8101-30e7a431623e
67535406-6095-e211-a939-e4115bead28a,,Public Sector,2,17,66535406-6095-e211-a939-e4115bead28a,18,24,0804745e-80b6-4bd1-8101-30e7a431623e
6c535406-6095-e211-a939-e4115bead28a,,Vets,2,19,66535406-6095-e211-a939-e4115bead28a,20,24,0804745e-80b6-4bd1-8101-30e7a431623e
6d535406-6095-e211-a939-e4115bead28a,,Medical Devices and Systems,1,24,a738cecc-5f95-e211-a939-e4115bead28a,27,24,0804745e-80b6-4bd1-8101-30e7a431623e
6e535406-6095-e211-a939-e4115bead28a,,Optical Precision Instruments,2,25,6d535406-6095-e211-a939-e4115bead28a,26,24,0804745e-80b6-4bd1-8101-30e7a431623e
6f535406-6095-e211-a939-e4115bead28a,,Medical Equipment,1,28,a738cecc-5f95-e211-a939-e4115bead28a,35,24,0804745e-80b6-4bd1-8101-30e7a431623e
70535406-6095-e211-a939-e4115bead28a,,Dental Aesthetics,2,29,6f535406-6095-e211-a939-e4115bead28a,30,24,0804745e-80b6-4bd1-8101-30e7a431623e
71535406-6095-e211-a939-e4115bead28a,,Glass,2,31,6f535406-6095-e211-a939-e4115bead28a,32,24,0804745e-80b6-4bd1-8101-30e7a431623e
74535406-6095-e211-a939-e4115bead28a,,Medical Lab Services,1,36,a738cecc-5f95-e211-a939-e4115bead28a,37,24,0804745e-80b6-4bd1-8101-30e7a431623e
66f1690c-6095-e211-a939-e4115bead28a,,Gaming,1,2,a938cecc-5f95-e211-a939-e4115bead28a,7,27,ed3671b5-d194-4ee3-9bbf-a04773711dd9
67f1690c-6095-e211-a939-e4115bead28a,,Casino Gambling,2,3,66f1690c-6095-e211-a939-e4115bead28a,4,27,ed3671b5-d194-4ee3-9bbf-a04773711dd9
68f1690c-6095-e211-a939-e4115bead28a,,Mass-Market Gambling,2,5,66f1690c-6095-e211-a939-e4115bead28a,6,27,ed3671b5-d194-4ee3-9bbf-a04773711dd9
65f1690c-6095-e211-a939-e4115bead28a,,Sports and Leisure Infrastructure,1,8,a938cecc-5f95-e211-a939-e4115bead28a,9,27,ed3671b5-d194-4ee3-9bbf-a04773711dd9
6df1690c-6095-e211-a939-e4115bead28a,,Ceramics,1,2,a522c9d2-5f95-e211-a939-e4115bead28a,3,33,531d3510-3f42-41fd-86b5-fa686fdfe33f
6ff1690c-6095-e211-a939-e4115bead28a,,Elastomers and Rubbers,1,6,a522c9d2-5f95-e211-a939-e4115bead28a,7,33,531d3510-3f42-41fd-86b5-fa686fdfe33f
6af1690c-6095-e211-a939-e4115bead28a,,Metals,1,8,a522c9d2-5f95-e211-a939-e4115bead28a,9,33,531d3510-3f42-41fd-86b5-fa686fdfe33f
6bf1690c-6095-e211-a939-e4115bead28a,,Minerals,1,10,a522c9d2-5f95-e211-a939-e4115bead28a,11,33,531d3510-3f42-41fd-86b5-fa686fdfe33f
6cf1690c-6095-e211-a939-e4115bead28a,,Plastics,1,12,a522c9d2-5f95-e211-a939-e4115bead28a,13,33,531d3510-3f42-41fd-86b5-fa686fdfe33f
70f1690c-6095-e211-a939-e4115bead28a,,Nuclear,1,2,a922c9d2-5f95-e211-a939-e4115bead28a,5,38,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
71f1690c-6095-e211-a939-e4115bead28a,,Biomass,1,2,7ebb9fc6-5f95-e211-a939-e4115bead28a,3,40,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
72f1690c-6095-e211-a939-e4115bead28a,,Geothermal,1,4,7ebb9fc6-5f95-e211-a939-e4115bead28a,5,40,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
73f1690c-6095-e211-a939-e4115bead28a,,Hydro,1,6,7ebb9fc6-5f95-e211-a939-e4115bead28a,7,40,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
74f1690c-6095-e211-a939-e4115bead28a,,Solar,1,8,7ebb9fc6-5f95-e211-a939-e4115bead28a,9,40,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
75f1690c-6095-e211-a939-e4115bead28a,,Tidal,1,10,7ebb9fc6-5f95-e211-a939-e4115bead28a,11,40,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
76f1690c-6095-e211-a939-e4115bead28a,,Wave,1,12,7ebb9fc6-5f95-e211-a939-e4115bead28a,13,40,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a938cecc-5f95-e211-a939-e4115bead28a,,Leisure and Tourism,0,1,,10,27,ed3671b5-d194-4ee3-9bbf-a04773711dd9
b4959812-6095-e211-a939-e4115bead28a,,Life Sciences,0,1,,2,28,0804745e-80b6-4bd1-8101-30e7a431623e
a422c9d2-5f95-e211-a939-e4115bead28a,,Metallurgical Process Plant,0,1,,2,32,531d3510-3f42-41fd-86b5-fa686fdfe33f
a622c9d2-5f95-e211-a939-e4115bead28a,,Mining,0,1,,2,34,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a722c9d2-5f95-e211-a939-e4115bead28a,,Oil and Gas,0,1,,2,36,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
a922c9d2-5f95-e211-a939-e4115bead28a,,Power,0,1,,6,38,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
aa22c9d2-5f95-e211-a939-e4115bead28a,,Railways,0,1,,2,39,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1
af22c9d2-5f95-e211-a939-e4115bead28a,,Aircraft Design,1,2,9538cecc-5f95-e211-a939-e4115bead28a,3,2,531d3510-3f42-41fd-86b5-fa686fdfe33f
b522c9d2-5f95-e211-a939-e4115bead28a,,Helicopters,2,13,b906a205-f5a0-e211-b972-e4115bead28a,14,2,531d3510-3f42-41fd-86b5-fa686fdfe33f
a4ee00d9-5f95-e211-a939-e4115bead28a,,Bodies and Coachwork,2,7,b022c9d2-5f95-e211-a939-e4115bead28a,8,5,531d3510-3f42-41fd-86b5-fa686fdfe33f
b222c9d2-5f95-e211-a939-e4115bead28a,,Manufacturing and Assembly,1,18,9838cecc-5f95-e211-a939-e4115bead28a,39,5,531d3510-3f42-41fd-86b5-fa686fdfe33f
acee00d9-5f95-e211-a939-e4115bead28a,,Motorcycles,2,33,b222c9d2-5f95-e211-a939-e4115bead28a,34,5,531d3510-3f42-41fd-86b5-fa686fdfe33f
6ef7ffde-5f95-e211-a939-e4115bead28a,,Bio and Pharma Marketing and Sales,1,2,9938cecc-5f95-e211-a939-e4115bead28a,7,6,0804745e-80b6-4bd1-8101-30e7a431623e
65f7ffde-5f95-e211-a939-e4115bead28a,,Industrialbio,2,19,b7ee00d9-5f95-e211-a939-e4115bead28a,20,6,0804745e-80b6-4bd1-8101-30e7a431623e
6bf7ffde-5f95-e211-a939-e4115bead28a,,"Reagents, Consumables and Instruments",2,29,6af7ffde-5f95-e211-a939-e4115bead28a,30,6,0804745e-80b6-4bd1-8101-30e7a431623e
b2ee00d9-5f95-e211-a939-e4115bead28a,,Pharmaceuticals,1,32,9938cecc-5f95-e211-a939-e4115bead28a,41,6,0804745e-80b6-4bd1-8101-30e7a431623e
b4ee00d9-5f95-e211-a939-e4115bead28a,,Drug Manufacture,2,37,b2ee00d9-5f95-e211-a939-e4115bead28a,38,6,0804745e-80b6-4bd1-8101-30e7a431623e
74f7ffde-5f95-e211-a939-e4115bead28a,,Marketing Services,1,8,9a38cecc-5f95-e211-a939-e4115bead28a,11,7,7be7a38f-1a77-44bf-abee-3049ba50a6a8
559c37e5-5f95-e211-a939-e4115bead28a,,Miscellaneous Chemicals,1,8,9b38cecc-5f95-e211-a939-e4115bead28a,9,8,0804745e-80b6-4bd1-8101-30e7a431623e
599c37e5-5f95-e211-a939-e4115bead28a,,Broadband,1,2,9d38cecc-5f95-e211-a939-e4115bead28a,3,10,531d3510-3f42-41fd-86b5-fa686fdfe33f
5f9c37e5-5f95-e211-a939-e4115bead28a,,Retail,1,16,9d38cecc-5f95-e211-a939-e4115bead28a,17,10,531d3510-3f42-41fd-86b5-fa686fdfe33f
659c37e5-5f95-e211-a939-e4115bead28a,,"Art, Design and Creativity",1,4,9f38cecc-5f95-e211-a939-e4115bead28a,15,12,ed3671b5-d194-4ee3-9bbf-a04773711dd9
e4a038eb-5f95-e211-a939-e4115bead28a,,Live Theatrical Presentations,2,13,659c37e5-5f95-e211-a939-e4115bead28a,14,12,ed3671b5-d194-4ee3-9bbf-a04773711dd9
971a72f1-5f95-e211-a939-e4115bead28a,,Antiques and Antiquities,2,27,941a72f1-5f95-e211-a939-e4115bead28a,28,12,ed3671b5-d194-4ee3-9bbf-a04773711dd9
e6a038eb-5f95-e211-a939-e4115bead28a,,Events and Attractions,1,42,9f38cecc-5f95-e211-a939-e4115bead28a,43,12,ed3671b5-d194-4ee3-9bbf-a04773711dd9
