id,segment,sector_cluster_id,parent_id,path
3e0cd560-01fc-4891-88b5-59276a3a7450,Data centres,531d3510-3f42-41fd-86b5-fa686fdfe33f,a138cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Hardware : Data centres
84227d3a-fed5-4569-8596-7bfad6eeef1d,Internet of things,531d3510-3f42-41fd-86b5-fa686fdfe33f,a138cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Hardware : Internet of things
d05c68f5-65d0-4669-9ce1-d3aeebb1e4e3,Photonics,531d3510-3f42-41fd-86b5-fa686fdfe33f,a138cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Hardware : Photonics
8b21a938-7b5a-4207-a055-9c532f8cf0d6,Semiconductors,531d3510-3f42-41fd-86b5-fa686fdfe33f,a138cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Hardware : Semiconductors
961bb54f-f461-4cab-a4bd-4b3817d48372,Sensors,531d3510-3f42-41fd-86b5-fa686fdfe33f,a138cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Hardware : Sensors
64e4a5e6-7a8c-47b2-8850-6d37985c293e,Telecommunications and electronics systems,531d3510-3f42-41fd-86b5-fa686fdfe33f,a138cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Hardware : Telecommunications and electronics systems
b48551a5-d2cc-462e-836d-470d0581cfdb,5G,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : 5G
cdd27bff-b8c4-4f52-b7a8-57439b038867,Artificial intelligence,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : Artificial intelligence
a194cf70-6978-4bee-b737-021d505c07b2,Blockchain,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : Blockchain
f93d558c-1595-47c4-b0ab-4b280438e79f,Cloud services,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : Cloud services
e97b8eb0-695d-409d-b6b5-25d403fc57c6,Data analytics,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : Data analytics
34a2369b-3a0f-44ed-b7c6-9b2cf324c870,Internet of things,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : Internet of things
21088a1c-f448-48e2-af0c-3bdee38c23bd,Sensors,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : Sensors
43fbeed5-07c5-44ac-8370-0f55b26eaa24,Software as a service,531d3510-3f42-41fd-86b5-fa686fdfe33f,ab22c9d2-5f95-e211-a939-e4115bead28a,Technology and smart cities : Software : Software as a service
d336e9d3-93c2-4f0c-8b6e-06d5d5c3e920,Flood resilience,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1,ae22c9d2-5f95-e211-a939-e4115bead28a,Water : Flood resilience
5f6718c1-ce45-4fb8-ba68-4e970694dbf7,Wastewater management,c79ec2c9-9b31-45a0-9d32-b5cc284dc8d1,ae22c9d2-5f95-e211-a939-e4115bead28a,Water : Wastewater management
