old_sector,new_sector,new_sector_fix_capitalisation,sector_team,disable
Food and Drink : Dairy Products,Food and Drink : Dairy Products,Food and drink : Dairy products,Food & drink sector team,
Food and Drink : Food and Drink Manufacturing,Food and Drink : Food and Drink Manufacturing,Food and drink : Food and drink manufacturing,Food & drink sector team,
Food and Drink : Frozen and Chilled Foods,Food and Drink : Frozen and Chilled Foods,Food and drink : Frozen and chilled foods,Food & drink sector team,
Food and Drink : Fruit and Vegetables,Food and Drink : Fruit and Vegetables,Food and drink : Fruit and vegetables,Food & drink sector team,
Food and Drink : Meat Products,Food and Drink : Meat Products,Food and drink : Meat products,Food & drink sector team,
Food and Drink : Pet Food,Food and Drink : Pet Food,Food and drink : Pet food,Food & drink sector team,
Food and Drink : Ready Meals,Food and Drink : Ready Meals,Food and drink : Ready meals,Food & drink sector team,
Food and Drink : Secondary Food Processing,Food and Drink : Secondary Food Processing,Food and drink : Secondary food processing,Food & drink sector team,
Food and Drink : Tobacco Products,Food and drink,Food and drink,Food & drink sector team,
Global Sports Projects : Major Events,Sports economy : Major sports events,Sports economy : Major sports events,"Creative, consumer & sports sector team",
Healthcare and Medical : Healthcare Marketing and Sales,Healthcare services,Healthcare services,Healthcare sector team,
Healthcare and Medical : Healthcare Marketing and Sales : Healthcare Retail,Healthcare services,Healthcare services,Healthcare sector team,
Healthcare and Medical : Healthcare Marketing and Sales : Healthcare Wholesale,Healthcare services,Healthcare services,Healthcare sector team,
Biotechnology and Pharmaceuticals : Biotechnology : Biodiagnostics,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Healthcare and Medical : Healthcare Services,Healthcare services,Healthcare services,Healthcare sector team,
Healthcare and Medical : Healthcare Services : Dentists,Healthcare services,Healthcare services,Healthcare sector team,
Healthcare and Medical : Healthcare Services : Medical Practice,Healthcare services,Healthcare services,Healthcare sector team,
Healthcare and Medical : Healthcare Services : Nursing Homes,Healthcare services,Healthcare services,Healthcare sector team,
Healthcare and Medical : Healthcare Services : Private Sector,Healthcare services,Healthcare services,Healthcare sector team,
Healthcare and Medical : Healthcare Services : Public Sector,Healthcare services,Healthcare services,Healthcare sector team,
Life Sciences,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,Life sciences sector team,
Healthcare and Medical : Healthcare Services : Vets,"Agriculture, horticulture, fisheries and pets : Livestock, pets and horses","Agriculture, horticulture, fisheries and pets : Livestock, pets and horses",Bio-economy sector team,
Healthcare and Medical : Medical Equipment,Medical devices and equipment,Medical devices and equipment,Life sciences sector team,
Healthcare and Medical : Medical Devices and Systems,Medical devices and equipment,Medical devices and equipment,Life sciences sector team,
Healthcare and Medical : Medical Devices and Systems : Optical Precision Instruments,Medical devices and equipment,Medical devices and equipment,Life sciences sector team,
Healthcare and Medical : Medical Equipment : Dental Aesthetics,Medical devices and equipment,Medical devices and equipment,Life sciences sector team,
Healthcare and Medical : Medical Equipment : Glass,Medical devices and equipment : Consumables and equipment,Medical devices and equipment : Consumables and equipment,Life sciences sector team,
Healthcare and Medical : Medical Equipment : Spectacles and Unmounted Lenses,Medical devices and equipment,Medical devices and equipment,Life sciences sector team,
Healthcare and Medical : Medical Consumables,Medical devices and equipment : Consumables and equipment,Medical devices and equipment : Consumables and equipment,Life sciences sector team,
Healthcare and Medical : Medical Lab Services,Healthcare services : Lab services,Healthcare services : Lab services,Healthcare sector team,
Leisure and Tourism : Gaming,Consumer and retail : Leisure and tourism,Consumer and retail : Leisure and tourism,"Creative, consumer & sports sector team",
Leisure and Tourism : Gaming : Casino Gambling,Consumer and retail : Leisure and tourism,Consumer and retail : Leisure and tourism,"Creative, consumer & sports sector team",
Leisure and Tourism : Gaming : Mass-Market Gambling,Consumer and retail : Leisure and tourism,Consumer and retail : Leisure and tourism,"Creative, consumer & sports sector team",
Leisure and Tourism : Sports and Leisure Infrastructure,Sports economy : Sports infrastructure,Sports economy : Sports infrastructure,"Creative, consumer & sports sector team",
"Metals, Minerals and Materials : Ceramics","Advanced engineering : Metals, minerals and materials : Ceramics","Advanced engineering : Metals, minerals and materials : Ceramics",Advanced manufacturing sector team,
"Metals, Minerals and Materials : Composite Materials","Advanced engineering : Metals, minerals and materials : Composite Materials","Advanced engineering : Metals, minerals and materials : Composite materials",Advanced manufacturing sector team,
